                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3314,                 4.8287,                 4.2152,                 0.0021,                0.32585,                 0.0021,                0.00055,                 3.3298,                 5.6876,                 5.4127,              0.0033238,              0.0033238,              0.0033238
                      2,                 2.9744,                 4.3786,                 3.7319,                0.57072,                  0.026,                0.03669,                0.01164,                 2.6962,                 3.9274,                 3.4983,              0.0066489,              0.0066489,              0.0066489
                      3,                 2.2944,                 3.6738,                 2.9068,                0.24633,                0.16187,                0.07553,                0.03041,                  2.365,                 4.5537,                 2.9423,              0.0099657,              0.0099657,              0.0099657
                      4,                 1.8917,                 3.0845,                 2.4242,                0.39696,                0.28599,                0.21388,                0.11291,                 1.9251,                 2.7189,                 2.5451,              0.0099629,              0.0099629,              0.0099629
                      5,                 1.7142,                 2.7076,                 2.2105,                0.57819,                0.32092,                 0.2841,                 0.1599,                 1.7368,                 2.3475,                  2.284,              0.0099629,              0.0099629,              0.0099629
                      6,                 1.6143,                 2.4685,                 2.1059,                0.35474,                0.37325,                0.31998,                0.18792,                 1.6286,                 2.1122,                 2.1557,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.5546,                 2.3159,                 2.0192,                0.39146,                0.40737,                 0.3516,                0.21389,                 1.5783,                 1.9974,                 2.0605,              0.0099381,              0.0099381,              0.0099381
                      8,                 1.5028,                   2.19,                 1.9541,                0.43537,                0.41103,                0.41512,                0.26193,                 1.4753,                 1.8191,                 1.9564,              0.0099258,              0.0099258,              0.0099258
                      9,                 1.4932,                 2.1149,                 1.9267,                0.42133,                0.44937,                0.44243,                 0.2853,                 1.4411,                 1.7674,                 1.9104,              0.0099134,              0.0099134,              0.0099134
                     10,                 1.4388,                 2.0163,                 1.8671,                0.50152,                0.46172,                0.49039,                0.31119,                 1.4182,                 1.6768,                 1.8924,               0.009901,               0.009901,               0.009901
                     11,                  1.412,                  1.952,                 1.8439,                0.45551,                0.45725,                0.47025,                0.29474,                  1.435,                 1.7288,                 1.9314,              0.0098886,              0.0098886,              0.0098886
                     12,                  1.384,                 1.8956,                 1.8087,                0.46742,                0.49202,                0.49731,                0.33417,                   1.35,                 1.5522,                 1.7929,              0.0098763,              0.0098763,              0.0098763
                     13,                 1.3494,                 1.8264,                 1.7766,                0.62748,                0.49874,                0.53817,                0.35637,                 1.3576,                 1.4554,                 1.7941,              0.0098639,              0.0098639,              0.0098639
                     14,                 1.3391,                 1.7683,                 1.7603,                0.54936,                0.49106,                0.53206,                0.35004,                 1.3323,                 1.4717,                 1.7558,              0.0098515,              0.0098515,              0.0098515
                     15,                 1.3031,                 1.7182,                 1.7239,                 0.5622,                0.55109,                0.56775,                0.37842,                 1.2921,                 1.3781,                 1.7367,              0.0098391,              0.0098391,              0.0098391
                     16,                 1.2973,                 1.6838,                 1.7101,                0.57678,                0.47877,                0.52501,                0.35279,                 1.3168,                 1.4501,                 1.7343,              0.0098268,              0.0098268,              0.0098268
                     17,                 1.2839,                 1.6345,                 1.6958,                0.61602,                0.51975,                0.56314,                0.37744,                 1.3067,                 1.3584,                 1.7016,              0.0098144,              0.0098144,              0.0098144
                     18,                 1.2798,                 1.6285,                 1.6894,                0.61751,                0.55978,                0.60472,                0.41683,                 1.2504,                 1.2701,                 1.6769,               0.009802,               0.009802,               0.009802
                     19,                 1.2674,                 1.6086,                 1.6764,                0.64065,                 0.5484,                0.59765,                0.41888,                 1.2259,                 1.2464,                 1.6479,              0.0097896,              0.0097896,              0.0097896
                     20,                 1.2604,                 1.5626,                 1.6692,                0.65283,                0.57679,                0.62548,                0.43297,                    1.2,                 1.2023,                 1.6136,              0.0097773,              0.0097773,              0.0097773
                     21,                 1.2299,                 1.5252,                 1.6418,                0.67233,                 0.5736,                0.61415,                0.43191,                 1.1591,                 1.2051,                 1.5837,              0.0097649,              0.0097649,              0.0097649
                     22,                 1.2242,                 1.5026,                 1.6339,                0.63572,                0.57522,                0.62305,                0.43504,                 1.1934,                 1.2294,                 1.6089,              0.0097525,              0.0097525,              0.0097525
                     23,                 1.2219,                 1.5009,                 1.6254,                0.61701,                0.58525,                0.61066,                0.42705,                 1.1845,                 1.1295,                 1.5849,              0.0097401,              0.0097401,              0.0097401
                     24,                 1.2034,                 1.4656,                 1.6105,                0.67342,                0.56929,                0.62505,                0.43445,                 1.1748,                 1.1574,                  1.589,              0.0097278,              0.0097278,              0.0097278
                     25,                 1.1951,                  1.439,                 1.5955,                0.66261,                0.58571,                 0.6321,                0.44613,                 1.1524,                 1.1169,                 1.5658,              0.0097154,              0.0097154,              0.0097154
                     26,                 1.2055,                 1.4442,                 1.6024,                0.67085,                0.56952,                0.63013,                0.43498,                  1.145,                 1.1374,                 1.5515,               0.009703,               0.009703,               0.009703
                     27,                 1.1778,                 1.4175,                 1.5795,                0.66091,                0.59832,                0.64106,                0.46069,                 1.1358,                 1.0573,                 1.5329,              0.0096906,              0.0096906,              0.0096906
                     28,                 1.1828,                 1.3849,                 1.5819,                0.73385,                0.57875,                0.65549,                0.46659,                 1.1198,                 1.0128,                 1.5202,              0.0096783,              0.0096783,              0.0096783
                     29,                 1.1674,                 1.3735,                 1.5743,                0.68835,                0.62506,                0.65891,                0.48022,                 1.0953,                 1.0162,                 1.4931,              0.0096659,              0.0096659,              0.0096659
                     30,                  1.162,                 1.3548,                 1.5583,                0.69598,                0.59292,                0.64684,                0.46188,                 1.1281,                 1.0345,                 1.5209,              0.0096535,              0.0096535,              0.0096535
                     31,                 1.1389,                  1.332,                 1.5444,                 0.7124,                0.59593,                0.66143,                0.47624,                 1.1119,                 1.0229,                 1.5049,              0.0096411,              0.0096411,              0.0096411
                     32,                 1.1555,                 1.3293,                 1.5523,                  0.683,                 0.6204,                0.66184,                0.47654,                 1.1055,                0.99363,                 1.4947,              0.0096288,              0.0096288,              0.0096288
                     33,                 1.1403,                 1.3025,                 1.5389,                0.70453,                0.60988,                0.66557,                0.48142,                 1.0947,                0.99681,                 1.4941,              0.0096164,              0.0096164,              0.0096164
                     34,                 1.1314,                 1.2925,                 1.5253,                0.73584,                0.62356,                0.67644,                0.49844,                 1.0877,                 0.9601,                 1.4785,               0.009604,               0.009604,               0.009604
                     35,                 1.1388,                 1.2862,                 1.5317,                  0.702,                0.64328,                 0.6843,                0.49075,                 1.0923,                0.94438,                  1.478,              0.0095916,              0.0095916,              0.0095916
                     36,                 1.1255,                 1.2619,                 1.5252,                0.73865,                 0.6136,                0.68041,                0.49068,                 1.0884,                 0.9177,                 1.4677,              0.0095793,              0.0095793,              0.0095793
                     37,                 1.1224,                 1.2663,                 1.5147,                0.69217,                0.64042,                0.67454,                0.49367,                 1.0735,                0.92915,                 1.4607,              0.0095669,              0.0095669,              0.0095669
                     38,                 1.1133,                 1.2526,                 1.5082,                0.69786,                0.63451,                0.67178,                 0.4972,                 1.0668,                0.92914,                 1.4492,              0.0095545,              0.0095545,              0.0095545
                     39,                 1.1076,                 1.2505,                 1.5056,                0.75054,                0.61838,                0.67361,                0.48756,                 1.0826,                0.92343,                 1.4685,              0.0095421,              0.0095421,              0.0095421
                     40,                 1.1014,                 1.2209,                 1.5004,                0.72344,                0.64503,                0.68468,                0.51049,                 1.0494,                0.88502,                 1.4383,              0.0095298,              0.0095298,              0.0095298
                     41,                 1.0981,                 1.2224,                 1.5002,                0.69844,                0.63095,                0.66976,                0.49438,                 1.0474,                0.90747,                  1.437,              0.0095174,              0.0095174,              0.0095174
                     42,                 1.1036,                 1.2222,                 1.4884,                0.73754,                0.63795,                0.68949,                0.50409,                 1.0487,                0.88065,                 1.4354,               0.009505,               0.009505,               0.009505
                     43,                 1.0912,                 1.2149,                 1.4869,                0.76217,                0.62626,                 0.6821,                0.50245,                 1.0416,                0.88152,                 1.4271,              0.0094926,              0.0094926,              0.0094926
                     44,                 1.0807,                 1.1696,                 1.4721,                0.70398,                0.64796,                 0.6874,                0.50185,                 1.0298,                0.85573,                 1.4134,              0.0094803,              0.0094803,              0.0094803
                     45,                 1.0838,                 1.1869,                 1.4769,                0.71619,                0.63647,                0.69208,                0.52104,                 1.0221,                0.85408,                 1.4144,              0.0094679,              0.0094679,              0.0094679
                     46,                 1.0649,                 1.1533,                 1.4653,                0.73649,                0.64705,                0.69344,                0.51367,                 1.0148,                0.85134,                 1.4042,              0.0094555,              0.0094555,              0.0094555
                     47,                 1.0676,                 1.1615,                 1.4642,                0.72493,                0.66334,                0.70638,                0.51968,                 1.0234,                0.84898,                 1.3945,              0.0094431,              0.0094431,              0.0094431
                     48,                 1.0593,                 1.1449,                 1.4585,                0.71888,                0.63246,                0.68706,                0.51952,                 1.0176,                0.85541,                 1.4053,              0.0094307,              0.0094307,              0.0094307
